"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1223011";"";"None";"436.54";"0";"2.75";"3g";"Fc1ccc(C(c2nnnn2Cc2ccccc2)N2CCN(CC3CCCO3)CC2)cc1";"IC50";"'='";"4894.0";"nM";"5.31";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228010";"Antagonist activity at human histamine H3 receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221264";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"4894.0"
"CHEMBL1223308";"";"None";"436.99";"0";"4.02";"4a";"Clc1ccccc1C(c1nnnn1Cc1ccccc1)N1CCCN(C2CCC2)CC1";"IC50";"'='";"475.0";"nM";"6.32";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228010";"Antagonist activity at human histamine H3 receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221264";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"475.0"
"CHEMBL1222730";"";"None";"453.59";"0";"3.92";"6g";"c1ccc(Cn2nnnc2C(c2ccc3ncccc3c2)N2CCCN(C3CCC3)CC2)cc1";"IC50";"'='";"102.0";"nM";"6.99";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228010";"Antagonist activity at human histamine H3 receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221264";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"102.0"
"CHEMBL561234";"";"None";"394.31";"0";"3.08";"14f";"CN(C)CCCOc1ccc(CCNC(=O)c2ccc[nH]2)cc1Br";"IC50";"'='";"2920.0";"nM";"5.54";"";"";"UO_0000065";"14.04";"0.31";"2.45";"9.65";"0";"CHEMBL1032753";"Displacement of [3H]SMT from human histamine H3 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158433";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"2.92"
"CHEMBL561837";"";"None";"408.34";"0";"3.09";"14k";"CN(C)CCCOc1ccc(CCNC(=O)c2cccn2C)cc1Br";"IC50";"'='";"3990.0";"nM";"5.40";"";"";"UO_0000065";"13.22";"0.29";"2.31";"11.61";"0";"CHEMBL1032753";"Displacement of [3H]SMT from human histamine H3 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158433";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"3.99"
"CHEMBL561029";"";"None";"436.35";"0";"2.47";"14n";"Cn1cccc1C(=O)NCCc1ccc(OCCN2CCOCC2)c(Br)c1";"IC50";"'='";"39600.0";"nM";"4.40";"";"";"UO_0000065";"10.09";"0.22";"1.93";"7.90";"0";"CHEMBL1032753";"Displacement of [3H]SMT from human histamine H3 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158433";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"39.6"
"CHEMBL560230";"";"None";"486.33";"0";"4.31";"24a";"O=C(NCCc1ccc(OCCN2CCCC2)c(Br)c1)c1cccc(C(F)(F)F)n1";"IC50";"'='";"560.0";"nM";"6.25";"";"";"UO_0000065";"12.86";"0.28";"1.94";"11.48";"0";"CHEMBL1032753";"Displacement of [3H]SMT from human histamine H3 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158433";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.56"
"CHEMBL2387311";"";"None";"433.38";"1";"5.70";"1";"CC1CCCN1C1CCN(c2ccc(NC(=O)Nc3cc(Cl)cc(Cl)c3)cc2)C1";"IC50";"'='";"0.95";"nM";"9.02";"";"";"UO_0000065";"20.82";"0.42";"3.32";"18.95";"0";"CHEMBL2394850";"Antagonist activity at human histamine H3 receptor by FLIPR assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390865";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"0.95"
"CHEMBL1222948";"";"None";"366.44";"0";"2.24";"3c";"C[C@@H]1CN(C(c2ccc(F)cc2)c2nnnn2Cc2ccccc2)CCN1";"IC50";"'='";"1761.0";"nM";"5.75";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1228010";"Antagonist activity at human histamine H3 receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221264";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"1761.0"
"CHEMBL477201";"";"None";"393.49";"0";"3.57";"13g";"COc1ccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc2c1";"IC50";"'='";"2.3";"nM";"8.64";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986350";"Inverse agonist activity at human histamine H3 receptor expressed in CHO-K1 cells assessed as inhibition of N-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155810";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"2.3"
"CHEMBL2021979";"";"None";"499.56";"0";"4.86";"51";"O=C(Nc1ccc(C(F)(F)F)cc1)NS(=O)(=O)c1ccc(OCCCCN2CCCCC2)cc1";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"10.01";"0.20";"0.14";"5.70";"0";"CHEMBL2026491";"Displacement of [125H]iodoproxyphan from human histamine H3 receptor expressed in CHO-K1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2021834";"1";"Scientific Literature";"Eur J Med Chem";"2012";"CHEMBL3307512";"";"";"";"10.0"
"CHEMBL2021991";"";"None";"431.56";"0";"3.76";"63";"Cc1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCCC3)cc2)cc1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"14.83";"0.29";"2.64";"7.29";"0";"CHEMBL2026491";"Displacement of [125H]iodoproxyphan from human histamine H3 receptor expressed in CHO-K1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2021834";"1";"Scientific Literature";"Eur J Med Chem";"2012";"CHEMBL3307512";"";"";"";"0.4"
"CHEMBL487063";"";"None";"377.49";"0";"3.95";"4";"Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCCC2)cc1";"IC50";"'='";"3.1";"nM";"8.51";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL956577";"Inverse agonist activity at human histamine H3 receptor assessed as inhibition of R-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"3.1"
"CHEMBL453653";"";"None";"419.53";"0";"4.00";"5j";"COc1cccc2nc(-c3ccc(OC4CCN(C5CCC5)CC4)cc3)n(C)c(=O)c12";"IC50";"'='";"0.54";"nM";"9.27";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL956577";"Inverse agonist activity at human histamine H3 receptor assessed as inhibition of R-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"0.54"
"CHEMBL487064";"";"None";"377.49";"0";"3.86";"5a";"Cn1c(-c2ccc(OCCCN3CCCCC3)cc2)nc2ccccc2c1=O";"IC50";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL956577";"Inverse agonist activity at human histamine H3 receptor assessed as inhibition of R-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"1.2"
"CHEMBL3427227";"";"None";"337.46";"0";"4.40";"BDBM50088163";"C[C@@H]1CCCN1CCc1ccc(-c2ccc(CCC(=O)O)cc2)cc1";"IC50";"'='";"2.5";"nM";"8.60";"";"411058";"UO_0000065";"";"";"";"";"1";"CHEMBL3888615";"HTRF cAMP Assay: Compounds of the present invention were evaluated using the human H3 receptor (H3R) HTRF cAMP assay. In this assay, HEK293 cells expressing the human H3 receptor were suspended in PBS containing 100 μM IBMX and plated into 384-well assay plates (Perkin Elmer Proxiplate 384-Plus; 15,000 cells per well; 5 μL plating volume) and allowed to equilibrate for an hour. Test compounds were serially diluted in 100% DMSO and then further diluted in PBS containing forskolin (2 μM). Test compounds (5 μL) were then added to the assay plate and the mixture was incubated for 1 hour. HTRF assay reagents (Cisbio, Dynamic 2 cAMP Kit), cAMP-d2 and cryptate-labeled anti-cAMP antibody, are mixed with cell lysis buffer and added to the assay plate. After 1-hour incubation with these reagents, the assay plate was read on an HTRF-compatible microplate reader (Perkin Elmer EnVision or BMG Pherastar).";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886781";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3307715";"";"";"";"2.5"
"CHEMBL4106702";"";"None";"448.61";"0";"4.48";"BDBM235926";"COC(=O)CNC(=O)C1(c2ccc(-c3ccc(CCN4CCC[C@H]4C)cc3)cc2)CCCC1";"IC50";"'='";"1.9";"nM";"8.72";"";"411074";"UO_0000065";"";"";"";"";"0";"CHEMBL3888615";"HTRF cAMP Assay: Compounds of the present invention were evaluated using the human H3 receptor (H3R) HTRF cAMP assay. In this assay, HEK293 cells expressing the human H3 receptor were suspended in PBS containing 100 μM IBMX and plated into 384-well assay plates (Perkin Elmer Proxiplate 384-Plus; 15,000 cells per well; 5 μL plating volume) and allowed to equilibrate for an hour. Test compounds were serially diluted in 100% DMSO and then further diluted in PBS containing forskolin (2 μM). Test compounds (5 μL) were then added to the assay plate and the mixture was incubated for 1 hour. HTRF assay reagents (Cisbio, Dynamic 2 cAMP Kit), cAMP-d2 and cryptate-labeled anti-cAMP antibody, are mixed with cell lysis buffer and added to the assay plate. After 1-hour incubation with these reagents, the assay plate was read on an HTRF-compatible microplate reader (Perkin Elmer EnVision or BMG Pherastar).";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886781";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3307715";"";"";"";"1.9"
"CHEMBL3427245";"";"None";"351.49";"0";"4.79";"BDBM50088058";"C[C@@H]1CCCN1CCc1ccc(-c2ccc(CCCC(=O)O)cc2)cc1";"IC50";"'='";"0.97";"nM";"9.01";"";"411081";"UO_0000065";"";"";"";"";"1";"CHEMBL3888615";"HTRF cAMP Assay: Compounds of the present invention were evaluated using the human H3 receptor (H3R) HTRF cAMP assay. In this assay, HEK293 cells expressing the human H3 receptor were suspended in PBS containing 100 μM IBMX and plated into 384-well assay plates (Perkin Elmer Proxiplate 384-Plus; 15,000 cells per well; 5 μL plating volume) and allowed to equilibrate for an hour. Test compounds were serially diluted in 100% DMSO and then further diluted in PBS containing forskolin (2 μM). Test compounds (5 μL) were then added to the assay plate and the mixture was incubated for 1 hour. HTRF assay reagents (Cisbio, Dynamic 2 cAMP Kit), cAMP-d2 and cryptate-labeled anti-cAMP antibody, are mixed with cell lysis buffer and added to the assay plate. After 1-hour incubation with these reagents, the assay plate was read on an HTRF-compatible microplate reader (Perkin Elmer EnVision or BMG Pherastar).";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886781";"37";"BindingDB Patent Bioactivity Data";"";"2016";"CHEMBL3307715";"";"";"";"0.97"
"CHEMBL476323";"MK-0249";"2.0";"431.46";"0";"4.58";"1";"Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1";"IC50";"'='";"1.7";"nM";"8.77";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986350";"Inverse agonist activity at human histamine H3 receptor expressed in CHO-K1 cells assessed as inhibition of N-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155810";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"1.7"
"CHEMBL453894";"";"None";"457.50";"1";"5.02";"5p";"Cn1c(-c2ccc(OC3CCN(C4CCC4)CC3)cc2)nc2c(C(F)(F)F)cccc2c1=O";"IC50";"'='";"0.7";"nM";"9.15";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL956577";"Inverse agonist activity at human histamine H3 receptor assessed as inhibition of R-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"0.7"
"CHEMBL446516";"";"None";"405.54";"0";"4.44";"6n";"Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CC(C)CC(C)C2)cc1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986350";"Inverse agonist activity at human histamine H3 receptor expressed in CHO-K1 cells assessed as inhibition of N-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155810";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"28.0"
"CHEMBL478395";"";"None";"391.52";"0";"4.19";"6k";"Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCC[C@H](C)C2)cc1";"IC50";"'='";"0.72";"nM";"9.14";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986350";"Inverse agonist activity at human histamine H3 receptor expressed in CHO-K1 cells assessed as inhibition of N-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155810";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"0.72"
"CHEMBL443958";"";"None";"391.52";"0";"4.34";"6i";"Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2[C@H](C)CC[C@H]2C)cc1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL986350";"Inverse agonist activity at human histamine H3 receptor expressed in CHO-K1 cells assessed as inhibition of N-alpha-methylhistamine-induced [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL264";"Histamine H3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155810";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307512";"";"";"";"20.0"
