Assay Type,Molecule Name,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,Original Smiles,nM,Inhibitor
B,,2939.57,,,IC50,=,21.67,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)C1)C(=O)O,21.67,1
B,,492.1,4.13,0.0,IC50,>,30000.0,nM,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(OC)cc1)CC2.Cl,30000.0,0
B,,1015.19,,,IC50,=,3690.0,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H]1CSSC(C)(C)[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc([N+](=O)[O-])cc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,3690.0,0
B,,418.58,4.82,0.0,IC50,>,30000.0,nM,C[C@@H](NC(=S)Nc1sc2c(c1C(=O)OC(C)(C)C)CCOC2)c1ccccc1,30000.0,0
B,,800.96,0.82,2.0,IC50,>,30000.0,nM,CC(C)[C@H]1C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N(C)[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N1C,30000.0,0
B,,3081.73,,,IC50,=,137.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NC(CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,137.0,1
B,,2782.4,,,IC50,=,38.61,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)C1)C(=O)O,38.61,1
F,,356.43,2.82,0.0,IC50,=,680.0,nM,COc1ccc(NC(=O)NCCc2ccc3c(n2)NCCC3)cc1OC,680.0,0
F,,538.74,5.57,2.0,IC50,=,1930.0,nM,CC(C)(C)C(=O)N1CCN(CCCN(Cc2nccc3c2[nH]c2ccccc23)C2CCCc3cccnc32)CC1,1930.0,0
B,,462.64,5.97,1.0,IC50,>,10000.0,nM,COc1ccc(NC(=S)Nc2sc3c(c2C(=O)OC(C)(C)C)C(C)CCC3)cc1OC,10000.0,0
F,,502.67,5.6,2.0,IC50,=,3730.0,nM,c1ccc(N2CCNCC2)c(CN(Cc2nccc3c2[nH]c2ccccc23)[C@H]2CCCc3cccnc32)c1,3730.0,0
B,,670.77,0.17,2.0,IC50,=,1600.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,1600.0,0
B,,364.54,3.21,0.0,IC50,=,1360.0,nM,NCCCCN(C[C@@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,1360.0,0
B,,402.59,5.95,1.0,IC50,=,11900.0,nM,CC1CCCc2sc(NC(=S)Nc3ccccc3)c(C(=O)OC(C)(C)C)c21,11900.0,0
B,,520.11,3.89,0.0,IC50,>,10000.0,nM,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc3c(c1)OCCO3)CC2.Cl,10000.0,0
B,,3122.78,,,IC50,=,9.57,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)C1)C(=O)O,9.57,1
F,,403.56,4.56,0.0,IC50,=,60.0,nM,NCc1sccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,60.0,1
F,,655.8,4.97,1.0,IC50,=,138.0,nM,O=C1CN(CCCN(Cc2nccc3c4ccccc4n(CCCN4C(=O)c5ccccc5C4=O)c23)[C@H]2CCCc3cccnc32)CCN1,138.0,1
F,,431.63,3.25,0.0,IC50,=,25.2,nM,CN1CCN(c2cccc3c2C[C@H](CN2CCC[C@H]4CCc5cccnc5[C@H]42)NC3)CC1,25.2,1
B,,743.87,-0.69,2.0,IC50,=,11.0,nM,C[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,11.0,1
B,,378.52,2.69,0.0,IC50,=,1050.0,nM,c1cnc2c(c1)CCCC2N(Cc1ccncn1)N1CCN(CC2CC2)CC1,1050.0,0
B,,627.84,2.0,3.0,IC50,=,72.0,nM,CCc1cc(NC2CCN(C(=O)CCNCC(=O)O)CC2)nc(NCc2cn(CCCNCCCNC3CCCCC3)nn2)n1,72.0,1
B,,500.73,5.7,2.0,IC50,>,10000.0,nM,CC1CCCc2sc(NC(=S)Nc3ccc(N4CCN(C)CC4)cc3)c(C(=O)OC(C)(C)C)c21,10000.0,0
B,,687.8,-0.6,2.0,IC50,=,19.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,19.0,1
F,,540.71,4.5,1.0,IC50,=,21.0,nM,NCCCCN(Cc1nccc2c3ccccc3n(CC(=O)NC3CCOCC3)c12)[C@H]1CCCc2cccnc21,21.0,1
F,,397.53,4.5,0.0,IC50,=,28.0,nM,NCc1ccccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,39.0,1
B,,783.94,0.14,2.0,IC50,>,30000.0,nM,CN1C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1Cc1ccc(O)cc1,30000.0,0
B,,637.75,-2.0,2.0,IC50,>,1000.0,nM,C[C@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CNC1=O,1000.0,0
F,,467.62,4.32,0.0,IC50,=,1666.0,nM,c1cnc2c(c1)CCCC2N(CCCCNC1=NCCN1)Cc1nccc2c1[nH]c1ccccc12,1666.0,0
F,,394.54,3.68,0.0,IC50,=,1800.0,nM,C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(/F)CN,1800.0,0
B,,1599.82,,,IC50,=,6.0,nM,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CNC(=O)CCC(=O)NCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C,6.0,1
B,,740.91,1.39,2.0,IC50,=,100.0,nM,C/C1=C(/C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@@H]1Cc1ccc(O)cc1,100.0,1
B,,727.83,-1.58,2.0,IC50,=,9.9,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H]2C[C@H](N=C(N)N)CN2C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,9.9,1
F,,595.79,3.96,1.0,IC50,=,628.0,nM,CN1CCN(CCCN(Cc2nccc3c4ccccc4n(CC(=O)N4CCOCC4)c23)[C@H]2CCCc3cccnc32)CC1,628.0,0
F,,406.62,4.25,0.0,IC50,=,7.0,nM,CC(C)NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,23.5,1
B,,376.51,3.96,0.0,IC50,>,10000.0,nM,CCOC(=O)c1c(NC(=S)Nc2cnccn2)sc2c1C(C)CCC2,10000.0,0
B,,404.56,5.15,1.0,IC50,>,15000.0,nM,CC1COCc2sc(NC(=S)Nc3ccccc3)c(C(=O)OC(C)(C)C)c21,15000.0,0
F,,298.43,3.09,0.0,IC50,=,66.0,nM,Cc1ccc(CN(CCCCN)C(C)c2ccccn2)nc1,66.0,1
B,,743.87,-0.69,2.0,IC50,=,92.0,nM,C[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,92.0,1
B,,415.45,1.49,0.0,IC50,>,10000.0,nM,CN1CCN(C(=O)c2cccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)c2)CC1,10000.0,0
F,,431.63,3.1,0.0,IC50,=,9.56,nM,CN1C[C@@H]2CN(c3cccc4c3C[C@H](CN(C)[C@H]3CCCc5cccnc53)NC4)C[C@@H]2C1,9.56,1
F,,437.59,4.84,0.0,IC50,=,9.0,nM,C#CCn1c2ccccc2c2ccnc(CN(CCCCN)[C@H]3CCCc4cccnc43)c21,9.0,1
B,,447.62,5.48,1.0,IC50,<,1000.0,nM,CC(C)Oc1ccc(-c2ccc3ccn(CC(=O)NCCN(C)C4CCCCC4)c3c2)cc1,1000.0,1
F,,436.6,3.01,0.0,IC50,=,21000.0,nM,NCCCCN(C[C@H]1CN(C(=O)Nc2ccccc2)CCN1)[C@H]1CCCc2cccnc21,21000.0,0
F,,363.51,3.97,0.0,IC50,=,514.0,nM,NCCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,514.0,0
F,,567.78,4.09,1.0,IC50,=,24.0,nM,c1cnc2c(c1)CCC[C@@H]2N(CCCN1CCNCC1)Cc1nccc2c3ccccc3n(CCN3CCOCC3)c12,24.0,1
F,,431.63,3.25,0.0,IC50,=,18.7,nM,CN(C[C@H]1Cc2c(cccc2N2C[C@H]3CCN(C)[C@H]3C2)CN1)[C@H]1CCCc2cccnc21,18.7,1
B,,380.54,2.83,0.0,IC50,=,14.0,nM,Cc1nc(CN(C)[C@H]2CCCc3cccnc32)cc(N2CCN(C)C[C@@H]2C)n1,14.0,1
F,,468.65,3.83,0.0,IC50,=,17.9,nM,CN(C[C@H]1Cc2c(cccc2N2CCN(c3ccccn3)CC2)CN1)[C@H]1CCCc2cccnc21,17.9,1
B,,714.82,-0.13,2.0,IC50,>,30000.0,nM,CN1C(=O)[C@H](CO)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1CCCNC(=N)N,30000.0,0
F,,452.65,2.48,0.0,IC50,<,20.0,nM,Nc1cc(N2CCNCC2)nc(NCc2ccc(CNCCCNC3CCCCC3)cc2)n1,20.0,1
F,,493.4,6.79,1.0,IC50,=,2900.0,nM,CCCCN(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)c1nc2cc(Cl)cc(Cl)c2o1,2900.0,0
B,,677.84,2.1,3.0,IC50,=,147.1,nM,CCc1cc(NC2CCN(C(=O)CCNCCP(=O)(O)O)CC2)nc(NCc2cn(CCCNCCCNC3CCCCC3)nn2)n1,147.1,1
B,,2969.55,,,IC50,=,548.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,548.0,0
B,,2796.19,,,IC50,=,64.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)NCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCNC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](Cc1cnc[nH]1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CO)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](N)CC(C)C)C(N)=O,64.0,1
B,,740.91,1.39,2.0,IC50,=,2500.0,nM,C/C1=C(/C)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=N)N,2500.0,0
F,,413.57,4.74,0.0,IC50,=,57.0,nM,Cn1c2ccccc2c2cc(CN(CCCCN)[C@H]3CCCc4cccnc43)ncc21,57.0,1
F,,413.57,4.83,0.0,IC50,=,3370.0,nM,CN(Cc1nccc2c3ccccc3n(CCCCN)c12)[C@H]1CCCc2cccnc21,3370.0,0
B,,381.53,2.17,0.0,IC50,=,58.0,nM,CNc1nc(CN(C)C2CCCc3cccnc32)cc(N2CCN(C)CC2)n1,58.0,1
B,,3096.75,,,IC50,=,94.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(N)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,94.0,1
F,,354.5,2.35,0.0,IC50,>,33000.0,nM,COc1cccnc1CN(CCCCN)C[C@H]1Cc2ccccc2CN1,33000.0,0
B,,273.21,3.16,0.0,IC50,>,10000.0,nM,NCC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,10000.0,0
F,,392.64,4.98,0.0,IC50,=,6.6,nM,C1=C(CS/C(=N\C2CCCCC2)NC2CCCCCC2)N2CCN=C2S1,17.3,1
F,,457.58,4.29,0.0,IC50,=,22.0,nM,NCCCCN(Cc1nccc2c3ccccc3n(CC(=O)O)c12)[C@H]1CCCc2cccnc21,22.0,1
B,,656.23,6.58,2.0,IC50,>,1000.0,nM,CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2cccc(Cl)c2)CC1,1000.0,0
F,,524.63,5.47,2.0,IC50,>,10000.0,nM,CCCCN(c1nc2cc(CNC(=O)NC)ccc2o1)[C@H](C)c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,10000.0,0
F,,496.58,5.53,1.0,IC50,>,10000.0,nM,CCCCN(c1nc2cc(NC(N)=O)ccc2o1)[C@H](C)c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,10000.0,0
B,,2033.59,,,IC50,=,170000.0,nM,C[C@H]1/C=C\[C@@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](CSC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)CSSC[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)C(CCCNC(N)=O)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,170000.0,0
F,,539.73,4.02,1.0,IC50,=,4.0,nM,NCCCCN(Cc1nccc2c3ccccc3n(CCCN3CCNC(=O)C3)c12)[C@H]1CCCc2cccnc21,4.0,1
F,,544.79,6.96,2.0,IC50,>,16700.0,nM,c1ccc(CN(CCCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)Cc2ccccc2)cc1,16700.0,0
B,,857.03,-1.33,3.0,IC50,>,10000.0,nM,CC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,10000.0,0
B,MAVORIXAFOR,349.48,3.58,0.0,IC50,=,30.0,nM,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,13.295,1
B,,406.62,4.34,0.0,IC50,=,20.0,nM,CC(C)N1Cc2ccccc2C[C@@H]1CN(CCCCN)[C@H]1CCCc2cccnc21,80.0,1
B,PARAZOANTHINE A,317.35,0.55,0.0,IC50,=,18.7,nM,N=C(N)NCCC[C@@H]1NC(=O)N(/C=C/c2ccc(O)cc2)C1=O,18.7,1
F,,469.64,3.22,0.0,IC50,=,30.7,nM,CN(C[C@H]1Cc2c(cccc2N2CCN(c3ncccn3)CC2)CN1)[C@H]1CCCc2cccnc21,30.7,1
B,,606.74,3.0,2.0,IC50,=,3700.0,nM,N=C(N)NCCCn1c(C(=O)NCCc2c[nH]c3ccccc23)cc2cc(NC(=O)[C@@H](Cc3ccccc3)NC(=N)N)ccc21,3700.0,0
F,,595.75,3.14,1.0,IC50,=,8720.0,nM,O=C1CN(CCCN(Cc2nccc3c4ccccc4n(CC(=O)N4CCOCC4)c23)[C@H]2CCCc3cccnc32)CCN1,8720.0,0
B,,1982.43,,,IC50,=,5000.0,nM,C[C@H]1/C=C\[C@@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)CSSC[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)C(CCCNC(N)=O)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,5000.0,0
B,,814.99,1.21,2.0,IC50,>,30000.0,nM,CC[C@H](C)[C@H]1C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N(C)[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N1C,30000.0,0
F,,617.8,5.29,2.0,IC50,=,2830.0,nM,O=C(Cn1c2ccccc2c2ccnc(CN(CCCCNCc3ccncc3)[C@H]3CCCc4cccnc43)c21)N1CCOCC1,2830.0,0
F,,397.53,4.5,0.0,IC50,=,1402.0,nM,NCc1cccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c1,1402.0,0
F,,312.46,3.4,0.0,IC50,=,8.0,nM,Cc1ccnc(C(C)N(CCCCN)Cc2ncccc2C)c1,8.0,1
B,,825.01,1.84,2.0,IC50,>,30000.0,nM,CN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2csc3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1CCCNC(N)=O,30000.0,0
F,,312.46,3.4,0.0,IC50,=,20.0,nM,Cc1cnc(CN(CCCCN)C(C)c2ccccn2)c(C)c1,20.0,1
F,,373.46,4.09,0.0,IC50,=,25.0,nM,NCc1cocc1N(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,25.0,1
B,,3097.73,,,IC50,=,84.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,84.0,1
B,,804.97,0.09,2.0,IC50,=,21000.0,nM,CN1C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(N)=O)N(C)C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H]1CS,21000.0,0
F,,482.68,3.82,0.0,IC50,=,4.47,nM,CN(C[C@H]1Cc2c(cccc2N2CCN(Cc3ccccn3)CC2)CN1)[C@H]1CCCc2cccnc21,4.47,1
B,,2537.96,,,IC50,=,110.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)NCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCOCCNC(=O)[C@H]1CCCN1C(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](Cc1cnc[nH]1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CO)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](N)CC(C)C)C(N)=O,110.0,1
F,,566.75,4.84,1.0,IC50,=,1260.0,nM,N[C@H]1CC[C@@H](CN(Cc2nccc3c4ccccc4n(CC(=O)N4CCOCC4)c23)[C@H]2CCCc3cccnc32)CC1,1260.0,0
F,,453.63,4.22,0.0,IC50,=,92.8,nM,C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1cccnc1,92.8,1
B,,606.74,3.0,2.0,IC50,=,1700.0,nM,N=C(N)NCCCn1c(C(=O)NCCc2c[nH]c3ccccc23)cc2cc(NC(=O)[C@H](Cc3ccccc3)NC(=N)N)ccc21,1700.0,0
B,,2678.05,,,IC50,>,1000.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)NCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCNC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)[C@@H](Cc1cnc[nH]1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CO)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](N)CC(C)C)C(N)=O,1000.0,0
B,,941.15,-2.69,3.0,IC50,=,1230.0,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,1230.0,0
